Nome,Classe,Tier,Cartas,Combo,Build (link),Última atualização,Observações,😀 Times
Tiphera,Suporte,S,"Barrier Deployment, Creation and Destruction, Dual Creation, Event Horizon, Form Convergence, Matter Disintegration, Quantum Seed",Quantum Seed para curar e criar Archetype -> Dual Creation / Creation and Destruction para gerar ainda mais Archetype e valor -> Form Convergence para exaurir cartas e comprar mais -> Event Horizon para dar AP e buff de dano pro próximo ataque (normalmente do Kayron) -> Matter Disintegration e Barrier Deployment para controle defensivo/ofensivo e mais alvos de Exhaust,https://game8.co/games/Chaos-Zero-Nightmare/archives/582561,10 de março de 2026,"Tiphera é uma support focada em criar Archetype e exaurir cartas para acelerar o time (especialmente Kayron), gerando AP extra e buffs de dano. Quantum Seed inicia o ciclo com cura e Archetype, Form Convergence exaure cartas e compra mais peças, Dual Creation e Creation and Destruction multiplicam Archetype, Event Horizon concede AP e buffa o próximo ataque, enquanto Matter Disintegration e Barrier Deployment ajudam a controlar o campo e servem como bons alvos para Exhaust. Nos status, priorizar Defense, Defense%, Health, Health% e Ego Recovery para ela tankar bem e manter o suporte constante.",
Hugo,Híbrido,S,"Defense System, Dingo Howling, Fan of Daggers, Fixer’s Approach, Hunting Instincts, Quick Fix, Throw Dagger",Hunting Instincts para ganhar/stackar Commence the Hunt -> Dingo Howling e Quick Fix para comprar Attack e ativar follow-ups -> Throw Dagger / Fan of Daggers para múltiplos hits e aproveitar os Extra Attacks -> Fixer's Approach para aumentar o dano dos follow-ups e Defense System para segurar o turno enquanto continua empilhando Commence the Hunt,https://game8.co/games/Chaos-Zero-Nightmare/archives/560566,10 de março de 2026,"Hugo é um Sub DPS focado em Extra Attack via Commence the Hunt. Ele usa Hunting Instincts para manter stacks altos, Dingo Howling e Quick Fix para comprar cartas e acionar ataques extras, Throw Dagger e Fan of Daggers para múltiplos hits aproveitando esses follow-ups, enquanto Fixer's Approach aumenta o dano deles. Defense System dá sustain e proteção enquanto ele gira o deck. Priorizar Order Damage%, Extra Damage%, Critical Chance%, Critical Damage% e Attack para maximizar o valor dos Extra Attacks.",
Mika,Suporte,S,"Blessing of Waves, Deluge, Source of Water, Tactical Analysis, Water Arrow, Water Barrier, Whirlpool","Source of Water para curar, dar AP e reduzir Stress -> Tactical Analysis / Deluge para empilhar Wave -> Blessing of Waves para converter Wave + AP em cura e Shield -> usar Water Arrow e Whirlpool como dano auxiliar que também escala com Wave -> Water Barrier para proteger o time enquanto ela continua gerando Wave e AP",https://game8.co/games/Chaos-Zero-Nightmare/archives/560170,10 de março de 2026,"Mika é uma support/healer focada em Wave e AP. Source of Water mantém o time vivo e gera AP, Tactical Analysis e Deluge empilham Wave, Blessing of Waves transforma tudo isso em cura e Shield altos, enquanto Water Arrow e Whirlpool dão dano complementar escalando com Wave. Water Barrier ajuda a segurar o time nos turnos de setup. Nos status, priorizar HP%, Defense, Defense%, Healing Bonus e Ego Recovery.",Combo Infinito (https://www.notion.so/Combo-Infinito-0069050bdb4c43098b8115ca71869001?pvs=21)
Veronica,Suporte,S,"Bombardment Prep, Firing Preparation, Illusion of Golden Daffodils, Pendant of Resolution, Rapid Fire, Repose, Sir Kowalski",Firing Preparation para começar a gerar Giant Ballista e preparar o burst -> usar Repose para comprar cartas dos aliados e encher a mão -> Sir Kowalski para buffar Ballistas (+dano) e ainda comprar mais -> Bombardment Prep e Rapid Fire para acelerar o disparo das Ballistas -> Illusion of Golden Daffodils e Pendant of Resolution entram como buffs/controle para garantir que o turno de burst seja o mais forte possível,https://game8.co/games/Chaos-Zero-Nightmare/archives/560556,10 de março de 2026,"Veronica é uma support/Sub-DPS focada em gerar e buffar Giant Ballista enquanto mantém o time cheio de cartas. Firing Preparation garante Ballistas constantes, Repose compra cartas de outros personagens, Sir Kowalski aumenta bastante o dano das Ballistas, e Bombardment Prep/Rapid Fire aceleram o turno de disparo. Illusion of Golden Daffodils e Pendant of Resolution complementam com buffs e controle para que o burst seja consistente. Nos status, priorizar Passion Damage%, Critical Chance%, Critical Damage%, Extra Damage% e Attack, usando sets tipo Glory's Reign + Executioner's Tool.","Combo Infinito (https://www.notion.so/Combo-Infinito-0069050bdb4c43098b8115ca71869001?pvs=21), Sereniel Ravage (https://www.notion.so/Sereniel-Ravage-c54b03fc3dc945e1a9c5e7a128edda44?pvs=21)"
Sereniel,DPS,S,"Cobalt Light, Homing Laser, Magnetic Field, Pale Shooting Star, Plasma Missile, Pulse Fire, Shining Core",Shining Core para criar Homing Laser L -> Plasma Missile para aplicar Instinct Weakness -> Homing Laser e Pulse Fire para spammar hits em alvo enfraquecido -> Magnetic Field para suporte/controle e sinergia de Instinct -> finalizar com Cobalt Light ou Pale Shooting Star ativando múltiplas Homing Laser,https://game8.co/games/Chaos-Zero-Nightmare/archives/572327,10 de março de 2026,"Sereniel é uma DPS de Instinct focada em spammar Homing Laser e Pulse Fire em alvos com Instinct Weakness aplicado por Plasma Missile. Shining Core gera mais lasers, Cobalt Light e Pale Shooting Star detonam vários hits de uma vez, enquanto Magnetic Field oferece suporte/controle e ajuda a manter o campo favorável. Priorizar Instinct Damage%, Critical Chance%, Critical Damage% e Attack, usando sets ofensivos como Black Wing + Cursed Corpse + Executioner's Tool.",
Narja,Suporte,S,"Bottomless Hunger, Domain of Voracity, Mealtime, NA: Attack Response, NA: Defense Response, Shackles of Hunger, Voluntary Control",Bottomless Hunger para começar a gerar Voracity -> Voluntary Control para buffar basic attacks e gerar mais Voracity por hit -> acumular 5 stacks -> Shackles of Hunger para consumir Voracity e turbinar o próximo ataque aliado -> NA: Attack Response e NA: Defense Response para responder a dano sofrido (ataque/defesa) e manter o ciclo de Voracity -> Domain of Voracity para amplificar de vez o payoff da mecânica e Mealtime como heal/dano baseado em DEF quando os stacks foram bem utilizados,https://game8.co/games/Chaos-Zero-Nightmare/archives/574560,10 de março de 2026,"Narja é uma support/buffer orientada a Voracity e respostas (Attack/Defense Response). Bottomless Hunger e Voluntary Control mantêm Voracity alta, NA: Attack Response e NA: Defense Response punem o inimigo quando o time é atacado, e Shackles of Hunger converte os stacks em um buff enorme para o próximo ataque aliado. Domain of Voracity fecha a curva ampliando ainda mais o retorno dos stacks e Mealtime funciona como burst heal/dano baseado em Defesa. Priorizar Defense, Defense%, HP%, Instinct Damage% e Crit stats conforme o uso ofensivo/defensivo.",
Nine,DPS,S,"Back-Edge Parry, Counterblade, Experienced Strike, Fatal Strike, Fighting Spirit, Hew, Slash","Subir o Hew (Extreme) enquanto usa Slash / Experienced Strike pra bater e ganhar value -> Counterblade pra empilhar Honed Edge quando cartas são exauridas -> Fighting Spirit pra ativar Hew e outras skills caras -> quando Hew estiver pronto, Fatal Strike pra levar direto ao nível máximo -> soltar o Hew final com todos os buffs acumulados",https://game8.co/games/Chaos-Zero-Nightmare/archives/578214,10 de março de 2026,"Nine é uma DPS de Order focada em um Hew (Extreme) gigantesco que escala com Defesa. Slash, Back-Edge Parry e Experienced Strike dão cobertura nos turnos em que o Hew ainda está subindo de nível e ajudam a manter pressão. Counterblade gera Honed Edge quando cartas são exauridas, Fightning Spirit ativa o Hew mais vezes e Fatal Strike serve para acelerar o acesso ao Hew máximo. Priorizar Order Damage%, Defense, Crit Chance% e Crit Damage%.",
Rin,DPS,A,"Dark Mist Inner Art, Dark Mist Secret Art: Annihilation, Dark Mist Secret Art: Black Dance, Dark Mist Secret Art: Destruction, Dark mist Sword: First Form, Dark mist Sword: Third Form, Drawing Slash, Protection",Drawing Slash -> obter Dark Mist Stance -> Dark Mist Inner Art para buffar Attack Cards -> Dark Mist Secret Art: Destruction para puxar Annihilation e Black Dance -> Dark Mist Secret Art: Annihilation (multi-hit com crit buff) -> Dark Mist Secret Art: Black Dance (multi-hit escalando com Skill cards na mão) -> reutilizar Destruction para repetir Annihilation / Black Dance,https://game8.co/games/Chaos-Zero-Nightmare/archives/560511,10 de março de 2026,"Build da Rin focada em ser uma selfish DPS de Dark Mist Stance, usando múltiplas cópias de Dark Mist Secret Art: Destruction para ficar reciclando Annihilation e Black Dance durante o turno. O objetivo é entrar em Dark Mist Stance com Drawing Slash, usar Dark Mist Inner Art como upgrade de uso único para dar +50% de Attack Card Damage, e depois alternar entre Annihilation (multi-hit com crítico amplificado) e Black Dance (multi-hit que escala com a quantidade de Skill cards na mão).

Ela funciona melhor em times onde os suportes praticamente não usam Attack Cards, deixando todos os slots de dano para ela. A melhor equipe indicada é formada por dois supports (como Rei e Narja), que fornecem additive damage, card draw e redução de custo para as cartas da Rin, permitindo que ela jogue várias Annihilation e Black Dance no mesmo turno.",
Rei,Suporte,A,"Dark Condensation, Dark Mist Secret Art: Black Dance, Material Regeneration, Predator's Blade, Resonating Darkness, Snack Time, Strike of Darkness",Material Regeneration -> usar Dark Blade / Strike of Darkness para gerar Morale e dano -> repetir Material Regeneration para manter recursos e suportar o DPS principal,https://game8.co/games/Chaos-Zero-Nightmare/archives/560770,10 de março de 2026,"Rei é uma support focada em Morale e buffs de dano para o DPS principal. Ela usa Material Regeneration para manter recursos e Dark Blade / Strike of Darkness para contribuir com dano enquanto gera Morale para o time. A prioridade de status é HP e Defense para sobreviver, com Attack/Attack% se você quiser que o dano dela pese um pouco mais.",
Chizuru,DPS,A,"Bound at Dusk, Karmic Flames, Moonslash, Oni Hunt, Shadow of the Moon, Spiritflame's Ward, Tsukuyomi",Karmic Flames -> Tsukuyomi spam para empilhar hits -> Bound at Dusk / Oni Hunt para aplicar Bind e gerar Will-O'-Wisp -> acumular hits na Shadow of the Moon -> usar Shadow of the Moon para finalizar com burst,https://game8.co/games/Chaos-Zero-Nightmare/archives/569513,10 de março de 2026,"Chizuru é uma DPS focada em carregar Shadow of the Moon com vários hits usando Tsukuyomi, enquanto Bound at Dusk e Oni Hunt aceleram Bind e Will-O'-Wisp. Depois de preparar a Shadow of the Moon, ela solta um burst muito alto em um único turno. Priorizar Void Damage%, Attack, Critical Chance% e Critical Damage% para maximizar o dano da Shadow of the Moon.",
